            template_key             | channel  | locale |                   subject_preview                   |                                                       body_preview                                                       
                                     |          |        |                                                     | **{{title}}**                                                                                                           +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | {{body}}                                                                                                                +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | This announcement is from {{s
 announcement.published              | in_app   | ar     |                                                     | إعلان جديد: {{title}}
 announcement.published              | in_app   | en     |                                                     | New announcement: {{title}}
 approval.decided                    | email    | ar     | تم {{decision}} طلبك: {{action_type}}               | عزيزي {{recipient_name}}،                                                                                               +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | تم **{{decision}}** طلبك بخصوص "{{action_type}}".                                                                       +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | **تم البت من قبل:** {{approver_name}}                                                                                   +
                                     |          |        |                                                     | **ال
 approval.decided                    | email    | en     | Your request has been {{decision}}: {{action_type}} | Dear {{recipient_name}},                                                                                                +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | Your request for "{{action_type}}" has been **{{decision}}**.                                                           +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | **Decided by:** {{approver_name
 approval.decided                    | in_app   | ar     |                                                     | تم {{decision}} طلبك "{{action_type}}" من قِبَل {{approver_name}}
 approval.decided                    | in_app   | en     |                                                     | Your request "{{action_type}}" was {{decision}} by {{approver_name}}
 approval.requested                  | email    | ar     | مطلوب موافقة: {{action_type}}                       | عزيزي {{recipient_name}}،                                                                                               +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | مطلوب موافقتك على ما يلي:                                                                                               +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | **الإجراء:** {{action_type}}                                                                                            +
                                     |          |        |                                                     | **طلب من:** {{requester_name}}                                                                                          +
                                     |          |        |                                                     | **السب
 approval.requested                  | email    | en     | Approval Required: {{action_type}}                  | Dear {{recipient_name}},                                                                                                +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | Your approval is required for the following:                                                                            +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | **Action:** {{action_type}}                                                                                             +
                                     |          |        |                                                     | **Requested by:** {{
 approval.requested                  | in_app   | ar     |                                                     | طلب موافقة: {{action_type}} من {{requester_name}}
 approval.requested                  | in_app   | en     |                                                     | Approval requested: {{action_type}} by {{requester_name}}
 inbox_message_fallback              | email    | ar     | رسالة جديدة من {{sender_name}}                      | <p>لديك رسالة غير مقروءة من <strong>{{sender_name}}</strong> في صندوق الوارد الخاص بالمدرسة.</p><blockquote>{{snippet}}<
 inbox_message_fallback              | email    | en     | New message from {{sender_name}}                    | <p>You have an unread message from <strong>{{sender_name}}</strong> in your school inbox.</p><blockquote>{{snippet}}</bl
 inbox_message_fallback              | whatsapp | ar     |                                                     | *رسالة جديدة من {{sender_name}}*                                                                                        +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | {{snippet}}                                                                                                             +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | افتح صندوق الوارد المدرسي لقراءة الرسالة الكاملة والرد.
 inbox_message_fallback              | whatsapp | en     |                                                     | *New message from {{sender_name}}*                                                                                      +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | {{snippet}}                                                                                                             +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | Open your school inbox to read the full message and reply.
 inbox_message_fallback              | sms      | ar     |                                                     | {{sender_name}}: {{snippet}} — افتح صندوق الوارد المدرسي لقراءة الرسالة الكاملة والرد.
 inbox_message_fallback              | sms      | en     |                                                     | {{sender_name}}: {{snippet}} — Open your school inbox to read the full message and reply.
 inquiry.new_message                 | email    | ar     | رسالة جديدة على استفسارك: {{subject}}               | عزيزي {{recipient_name}}،                                                                                               +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | لديك رسالة جديدة على استفسارك "{{subject}}":                                                                            +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | {{message}}                                                                                                             +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | يرجى تسجيل الدخول إلى بوابة أولياء
 inquiry.new_message                 | email    | en     | New message on your inquiry: {{subject}}            | Dear {{recipient_name}},                                                                                                +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | You have received a new message on your inquiry "{{subject}}":                                                          +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | {{message}}                                                                                                             +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | Please log in to 
 inquiry.new_message                 | in_app   | ar     |                                                     | رسالة جديدة على الاستفسار: {{subject}}
 inquiry.new_message                 | in_app   | en     |                                                     | New message on inquiry: {{subject}}
 leave.request_approved              | email    | ar     | تمت الموافقة على الإجازة                            | تمت الموافقة على طلب الإجازة من قبل {{reviewer_name}}.{{#if review_notes}} الملاحظات: {{review_notes}}{{/if}}
 leave.request_approved              | email    | en     | Leave approved                                      | Your leave request has been approved by {{reviewer_name}}.{{#if review_notes}} Notes: {{review_notes}}{{/if}}
 leave.request_approved              | whatsapp | ar     |                                                     | تمت الموافقة على طلب الإجازة من قبل {{reviewer_name}}.{{#if review_notes}} الملاحظات: {{review_notes}}{{/if}}
 leave.request_approved              | whatsapp | en     |                                                     | Your leave request has been approved by {{reviewer_name}}.{{#if review_notes}} Notes: {{review_notes}}{{/if}}
 leave.request_approved              | in_app   | ar     | تمت الموافقة على الإجازة                            | تمت الموافقة على طلب الإجازة من قبل {{reviewer_name}}.{{#if review_notes}} الملاحظات: {{review_notes}}{{/if}}
 leave.request_approved              | in_app   | en     | Leave approved                                      | Your leave request has been approved by {{reviewer_name}}.{{#if review_notes}} Notes: {{review_notes}}{{/if}}
 leave.request_approved              | sms      | ar     |                                                     | تمت الموافقة على طلب الإجازة من قبل {{reviewer_name}}.{{#if review_notes}} الملاحظات: {{review_notes}}{{/if}}
 leave.request_approved              | sms      | en     |                                                     | Your leave request has been approved by {{reviewer_name}}.{{#if review_notes}} Notes: {{review_notes}}{{/if}}
 leave.request_rejected              | email    | ar     | تم رفض طلب الإجازة                                  | تم رفض طلب الإجازة من قبل {{reviewer_name}}.{{#if review_notes}} الملاحظات: {{review_notes}}{{/if}}
 leave.request_rejected              | email    | en     | Leave request rejected                              | Your leave request was rejected by {{reviewer_name}}.{{#if review_notes}} Notes: {{review_notes}}{{/if}}
 leave.request_rejected              | whatsapp | ar     |                                                     | تم رفض طلب الإجازة من قبل {{reviewer_name}}.{{#if review_notes}} الملاحظات: {{review_notes}}{{/if}}
 leave.request_rejected              | whatsapp | en     |                                                     | Your leave request was rejected by {{reviewer_name}}.{{#if review_notes}} Notes: {{review_notes}}{{/if}}
 leave.request_rejected              | in_app   | ar     | تم رفض طلب الإجازة                                  | تم رفض طلب الإجازة من قبل {{reviewer_name}}.{{#if review_notes}} الملاحظات: {{review_notes}}{{/if}}
 leave.request_rejected              | in_app   | en     | Leave request rejected                              | Your leave request was rejected by {{reviewer_name}}.{{#if review_notes}} Notes: {{review_notes}}{{/if}}
 leave.request_rejected              | sms      | ar     |                                                     | تم رفض طلب الإجازة من قبل {{reviewer_name}}.{{#if review_notes}} الملاحظات: {{review_notes}}{{/if}}
 leave.request_rejected              | sms      | en     |                                                     | Your leave request was rejected by {{reviewer_name}}.{{#if review_notes}} Notes: {{review_notes}}{{/if}}
 leave.request_submitted             | email    | ar     | طلب إجازة: {{requester_name}}                       | قدم {{requester_name}} طلب {{leave_label}} من {{date_from}} إلى {{date_to}}. يرجى المراجعة.
 leave.request_submitted             | email    | en     | Leave request: {{requester_name}}                   | {{requester_name}} has submitted a {{leave_label}} request from {{date_from}} to {{date_to}}. Please review.
 leave.request_submitted             | whatsapp | ar     |                                                     | قدم {{requester_name}} طلب {{leave_label}} من {{date_from}} إلى {{date_to}}. يرجى المراجعة.
 leave.request_submitted             | whatsapp | en     |                                                     | {{requester_name}} has submitted a {{leave_label}} request from {{date_from}} to {{date_to}}. Please review.
 leave.request_submitted             | in_app   | ar     | طلب إجازة: {{requester_name}}                       | قدم {{requester_name}} طلب {{leave_label}} من {{date_from}} إلى {{date_to}}. يرجى المراجعة.
 leave.request_submitted             | in_app   | en     | Leave request: {{requester_name}}                   | {{requester_name}} has submitted a {{leave_label}} request from {{date_from}} to {{date_to}}. Please review.
 leave.request_submitted             | sms      | ar     |                                                     | قدم {{requester_name}} طلب {{leave_label}} من {{date_from}} إلى {{date_to}}. يرجى المراجعة.
 leave.request_submitted             | sms      | en     |                                                     | {{requester_name}} has submitted a {{leave_label}} request from {{date_from}} to {{date_to}}. Please review.
 substitution.accepted               | email    | ar     | تم تأكيد التغطية: {{substitute_name}}               | قبل {{substitute_name}} تغطية حصة {{reporter_name}} في {{absence_date}}.
 substitution.accepted               | email    | en     | Cover confirmed: {{substitute_name}}                | {{substitute_name}} has accepted cover for {{reporter_name}} on {{absence_date}}.
 substitution.accepted               | whatsapp | ar     |                                                     | قبل {{substitute_name}} تغطية حصة {{reporter_name}} في {{absence_date}}.
 substitution.accepted               | whatsapp | en     |                                                     | {{substitute_name}} has accepted cover for {{reporter_name}} on {{absence_date}}.
 substitution.accepted               | in_app   | ar     | تم تأكيد التغطية: {{substitute_name}}               | قبل {{substitute_name}} تغطية حصة {{reporter_name}} في {{absence_date}}.
 substitution.accepted               | in_app   | en     | Cover confirmed: {{substitute_name}}                | {{substitute_name}} has accepted cover for {{reporter_name}} on {{absence_date}}.
 substitution.accepted               | sms      | ar     |                                                     | قبل {{substitute_name}} تغطية حصة {{reporter_name}} في {{absence_date}}.
 substitution.accepted               | sms      | en     |                                                     | {{substitute_name}} has accepted cover for {{reporter_name}} on {{absence_date}}.
 substitution.admin_offer_dispatched | email    | ar     | تم إرسال عروض التغطية                               | تم إرسال {{offers_count}} عرض تغطية لغياب {{reporter_name}}.
 substitution.admin_offer_dispatched | email    | en     | Cover offers sent                                   | {{offers_count}} cover offer(s) dispatched for {{reporter_name}}'s absence.
 substitution.admin_offer_dispatched | whatsapp | ar     |                                                     | تم إرسال {{offers_count}} عرض تغطية لغياب {{reporter_name}}.
 substitution.admin_offer_dispatched | whatsapp | en     |                                                     | {{offers_count}} cover offer(s) dispatched for {{reporter_name}}'s absence.
 substitution.admin_offer_dispatched | in_app   | ar     | تم إرسال عروض التغطية                               | تم إرسال {{offers_count}} عرض تغطية لغياب {{reporter_name}}.
 substitution.admin_offer_dispatched | in_app   | en     | Cover offers sent                                   | {{offers_count}} cover offer(s) dispatched for {{reporter_name}}'s absence.
 substitution.admin_offer_dispatched | sms      | ar     |                                                     | تم إرسال {{offers_count}} عرض تغطية لغياب {{reporter_name}}.
 substitution.admin_offer_dispatched | sms      | en     |                                                     | {{offers_count}} cover offer(s) dispatched for {{reporter_name}}'s absence.
 substitution.cascade_exhausted      | email    | ar     | التغطية اليدوية مطلوبة                              | تم رفض أو انتهاء صلاحية جميع عروض التغطية التلقائية لغياب {{reporter_name}}. يرجى تعيين بديل يدوياً.
 substitution.cascade_exhausted      | email    | en     | Manual cover needed                                 | All automatic cover offers for {{reporter_name}} have been declined or expired. Please assign cover manually.
 substitution.cascade_exhausted      | whatsapp | ar     |                                                     | تم رفض أو انتهاء صلاحية جميع عروض التغطية التلقائية لغياب {{reporter_name}}. يرجى تعيين بديل يدوياً.
 substitution.cascade_exhausted      | whatsapp | en     |                                                     | All automatic cover offers for {{reporter_name}} have been declined or expired. Please assign cover manually.
 substitution.cascade_exhausted      | in_app   | ar     | التغطية اليدوية مطلوبة                              | تم رفض أو انتهاء صلاحية جميع عروض التغطية التلقائية لغياب {{reporter_name}}. يرجى تعيين بديل يدوياً.
 substitution.cascade_exhausted      | in_app   | en     | Manual cover needed                                 | All automatic cover offers for {{reporter_name}} have been declined or expired. Please assign cover manually.
 substitution.cascade_exhausted      | sms      | ar     |                                                     | تم رفض أو انتهاء صلاحية جميع عروض التغطية التلقائية لغياب {{reporter_name}}. يرجى تعيين بديل يدوياً.
 substitution.cascade_exhausted      | sms      | en     |                                                     | All automatic cover offers for {{reporter_name}} have been declined or expired. Please assign cover manually.
 substitution.declined               | email    | ar     | تم رفض عرض التغطية                                  | رفض {{decliner_name}} عرض التغطية. إذا لم يقبل أحد، سيتم الانتقال تلقائياً للجولة التالية.
 substitution.declined               | email    | en     | Cover offer declined                                | {{decliner_name}} declined a cover offer. If no siblings accept, the cascade will advance automatically.
 substitution.declined               | whatsapp | ar     |                                                     | رفض {{decliner_name}} عرض التغطية. إذا لم يقبل أحد، سيتم الانتقال تلقائياً للجولة التالية.
 substitution.declined               | whatsapp | en     |                                                     | {{decliner_name}} declined a cover offer. If no siblings accept, the cascade will advance automatically.
 substitution.declined               | in_app   | ar     | تم رفض عرض التغطية                                  | رفض {{decliner_name}} عرض التغطية. إذا لم يقبل أحد، سيتم الانتقال تلقائياً للجولة التالية.
 substitution.declined               | in_app   | en     | Cover offer declined                                | {{decliner_name}} declined a cover offer. If no siblings accept, the cascade will advance automatically.
 substitution.declined               | sms      | ar     |                                                     | رفض {{decliner_name}} عرض التغطية. إذا لم يقبل أحد، سيتم الانتقال تلقائياً للجولة التالية.
 substitution.declined               | sms      | en     |                                                     | {{decliner_name}} declined a cover offer. If no siblings accept, the cascade will advance automatically.
 substitution.nominated_rejected     | email    | ar     | تم رفض التغطية المرشحة                              | رفض {{decliner_name}} التغطية المرشحة. يرجى تعيين بديل يدوياً — لم يتم الانتقال تلقائياً.
 substitution.nominated_rejected     | email    | en     | Nominated cover declined                            | {{decliner_name}} declined the nominated cover. Please assign someone manually — the cascade did not auto-advance.
 substitution.nominated_rejected     | whatsapp | ar     |                                                     | رفض {{decliner_name}} التغطية المرشحة. يرجى تعيين بديل يدوياً — لم يتم الانتقال تلقائياً.
 substitution.nominated_rejected     | whatsapp | en     |                                                     | {{decliner_name}} declined the nominated cover. Please assign someone manually — the cascade did not auto-advance.
 substitution.nominated_rejected     | in_app   | ar     | تم رفض التغطية المرشحة                              | رفض {{decliner_name}} التغطية المرشحة. يرجى تعيين بديل يدوياً — لم يتم الانتقال تلقائياً.
 substitution.nominated_rejected     | in_app   | en     | Nominated cover declined                            | {{decliner_name}} declined the nominated cover. Please assign someone manually — the cascade did not auto-advance.
 substitution.nominated_rejected     | sms      | ar     |                                                     | رفض {{decliner_name}} التغطية المرشحة. يرجى تعيين بديل يدوياً — لم يتم الانتقال تلقائياً.
 substitution.nominated_rejected     | sms      | en     |                                                     | {{decliner_name}} declined the nominated cover. Please assign someone manually — the cascade did not auto-advance.
 substitution.offer_nominated        | email    | ar     | {{reporter_name}} طلب منك التغطية                   | رشحك {{reporter_name}} لتغطية حصة {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} في {{absence_date}}. يرجى
 substitution.offer_nominated        | email    | en     | {{reporter_name}} has asked you to cover            | {{reporter_name}} nominated you to cover their {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} on {{absence
 substitution.offer_nominated        | whatsapp | ar     |                                                     | رشحك {{reporter_name}} لتغطية حصة {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} في {{absence_date}}. يرجى
 substitution.offer_nominated        | whatsapp | en     |                                                     | {{reporter_name}} nominated you to cover their {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} on {{absence
 substitution.offer_nominated        | in_app   | ar     | {{reporter_name}} طلب منك التغطية                   | رشحك {{reporter_name}} لتغطية حصة {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} في {{absence_date}}. يرجى
 substitution.offer_nominated        | in_app   | en     | {{reporter_name}} has asked you to cover            | {{reporter_name}} nominated you to cover their {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} on {{absence
 substitution.offer_nominated        | sms      | ar     |                                                     | رشحك {{reporter_name}} لتغطية حصة {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} في {{absence_date}}. يرجى
 substitution.offer_nominated        | sms      | en     |                                                     | {{reporter_name}} nominated you to cover their {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} on {{absence
 substitution.offer_received         | email    | ar     | طلب تغطية: {{reporter_name}}                        | تم عرض تغطية حصة {{reporter_name}} لـ {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} في {{absence_date}}. 
 substitution.offer_received         | email    | en     | Cover request: {{reporter_name}}                    | You've been offered cover for {{reporter_name}}'s {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} on {{abse
 substitution.offer_received         | whatsapp | ar     |                                                     | تم عرض تغطية حصة {{reporter_name}} لـ {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} في {{absence_date}}. 
 substitution.offer_received         | whatsapp | en     |                                                     | You've been offered cover for {{reporter_name}}'s {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} on {{abse
 substitution.offer_received         | in_app   | ar     | طلب تغطية: {{reporter_name}}                        | تم عرض تغطية حصة {{reporter_name}} لـ {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} في {{absence_date}}. 
 substitution.offer_received         | in_app   | en     | Cover request: {{reporter_name}}                    | You've been offered cover for {{reporter_name}}'s {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} on {{abse
 substitution.offer_received         | sms      | ar     |                                                     | تم عرض تغطية حصة {{reporter_name}} لـ {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} في {{absence_date}}. 
 substitution.offer_received         | sms      | en     |                                                     | You've been offered cover for {{reporter_name}}'s {{#if subject_name}}{{subject_name}} — {{/if}}{{class_name}} on {{abse
 substitution.offer_revoked          | email    | ar     | عرض التغطية لم يعد مطلوباً                           | عرض التغطية الخاص بك لم يعد مطلوباً ({{reason}}). لا يلزم أي إجراء.
 substitution.offer_revoked          | email    | en     | Cover offer no longer needed                        | Your cover offer is no longer needed ({{reason}}). No action required.
 substitution.offer_revoked          | whatsapp | ar     |                                                     | عرض التغطية الخاص بك لم يعد مطلوباً ({{reason}}). لا يلزم أي إجراء.
 substitution.offer_revoked          | whatsapp | en     |                                                     | Your cover offer is no longer needed ({{reason}}). No action required.
 substitution.offer_revoked          | in_app   | ar     | عرض التغطية لم يعد مطلوباً                           | عرض التغطية الخاص بك لم يعد مطلوباً ({{reason}}). لا يلزم أي إجراء.
 substitution.offer_revoked          | in_app   | en     | Cover offer no longer needed                        | Your cover offer is no longer needed ({{reason}}). No action required.
 substitution.offer_revoked          | sms      | ar     |                                                     | عرض التغطية الخاص بك لم يعد مطلوباً ({{reason}}). لا يلزم أي إجراء.
 substitution.offer_revoked          | sms      | en     |                                                     | Your cover offer is no longer needed ({{reason}}). No action required.
(138 rows)

